swissValorNumber,companyLongName,ISIN_BC,LEI,ESGClassification,ESGFactorAVG
28101647,Vontobel Fund (CH) - Pension Invest Yield,CH0281016474_393,5493005ZZWAG5GH0G736,Main criterias used for a first screening of ESG related products,2.67
28101647,Vontobel Fund (CH) - Pension Invest Yield,CH0281016474_393,5493005ZZWAG5GH0G736,Greenhouse gas emissions,48.73
28101647,Vontobel Fund (CH) - Pension Invest Yield,CH0281016474_393,5493005ZZWAG5GH0G736,Biodiversity,0.41
28101647,Vontobel Fund (CH) - Pension Invest Yield,CH0281016474_393,5493005ZZWAG5GH0G736,Water,0.24
28101647,Vontobel Fund (CH) - Pension Invest Yield,CH0281016474_393,5493005ZZWAG5GH0G736,Waste,0.33
28101647,Vontobel Fund (CH) - Pension Invest Yield,CH0281016474_393,5493005ZZWAG5GH0G736,Social and employee matters,2.01
28101647,Vontobel Fund (CH) - Pension Invest Yield,CH0281016474_393,5493005ZZWAG5GH0G736,Energy efficiency,0.32
28101647,Vontobel Fund (CH) - Pension Invest Yield,CH0281016474_393,5493005ZZWAG5GH0G736,Environmental,0.99
28101647,Vontobel Fund (CH) - Pension Invest Yield,CH0281016474_393,5493005ZZWAG5GH0G736,Social,0.26
28101665,Vontobel Fund (CH) - Pension Invest Yield,CH0281016656_393,5493005ZZWAG5GH0G736,Main criterias used for a first screening of ESG related products,2.67
28101665,Vontobel Fund (CH) - Pension Invest Yield,CH0281016656_393,5493005ZZWAG5GH0G736,Greenhouse gas emissions,48.73
28101665,Vontobel Fund (CH) - Pension Invest Yield,CH0281016656_393,5493005ZZWAG5GH0G736,Biodiversity,0.41
28101665,Vontobel Fund (CH) - Pension Invest Yield,CH0281016656_393,5493005ZZWAG5GH0G736,Water,0.24
28101665,Vontobel Fund (CH) - Pension Invest Yield,CH0281016656_393,5493005ZZWAG5GH0G736,Waste,0.33
28101665,Vontobel Fund (CH) - Pension Invest Yield,CH0281016656_393,5493005ZZWAG5GH0G736,Social and employee matters,2.01
28101665,Vontobel Fund (CH) - Pension Invest Yield,CH0281016656_393,5493005ZZWAG5GH0G736,Energy efficiency,0.32
28101665,Vontobel Fund (CH) - Pension Invest Yield,CH0281016656_393,5493005ZZWAG5GH0G736,Environmental,0.99
28101665,Vontobel Fund (CH) - Pension Invest Yield,CH0281016656_393,5493005ZZWAG5GH0G736,Social,0.26
28101750,Vontobel Fund (CH) - Pension Invest Balanced,CH0281017506_393,549300XWZ4RD8ILEWJ49,Main criterias used for a first screening of ESG related products,2.67
28101750,Vontobel Fund (CH) - Pension Invest Balanced,CH0281017506_393,549300XWZ4RD8ILEWJ49,Greenhouse gas emissions,105.48
28101750,Vontobel Fund (CH) - Pension Invest Balanced,CH0281017506_393,549300XWZ4RD8ILEWJ49,Biodiversity,0.39
28101750,Vontobel Fund (CH) - Pension Invest Balanced,CH0281017506_393,549300XWZ4RD8ILEWJ49,Water,0.23
28101750,Vontobel Fund (CH) - Pension Invest Balanced,CH0281017506_393,549300XWZ4RD8ILEWJ49,Waste,0.32
28101750,Vontobel Fund (CH) - Pension Invest Balanced,CH0281017506_393,549300XWZ4RD8ILEWJ49,Social and employee matters,1.74
28101750,Vontobel Fund (CH) - Pension Invest Balanced,CH0281017506_393,549300XWZ4RD8ILEWJ49,Energy efficiency,0.29
28101750,Vontobel Fund (CH) - Pension Invest Balanced,CH0281017506_393,549300XWZ4RD8ILEWJ49,Environmental,0.76
28101750,Vontobel Fund (CH) - Pension Invest Balanced,CH0281017506_393,549300XWZ4RD8ILEWJ49,Social,0.39
28101853,Vontobel Fund (CH) - Pension Invest Balanced,CH0281018538_393,549300XWZ4RD8ILEWJ49,Main criterias used for a first screening of ESG related products,2.67
28101853,Vontobel Fund (CH) - Pension Invest Balanced,CH0281018538_393,549300XWZ4RD8ILEWJ49,Greenhouse gas emissions,105.48
28101853,Vontobel Fund (CH) - Pension Invest Balanced,CH0281018538_393,549300XWZ4RD8ILEWJ49,Biodiversity,0.39
28101853,Vontobel Fund (CH) - Pension Invest Balanced,CH0281018538_393,549300XWZ4RD8ILEWJ49,Water,0.23
28101853,Vontobel Fund (CH) - Pension Invest Balanced,CH0281018538_393,549300XWZ4RD8ILEWJ49,Waste,0.32
28101853,Vontobel Fund (CH) - Pension Invest Balanced,CH0281018538_393,549300XWZ4RD8ILEWJ49,Social and employee matters,1.74
28101853,Vontobel Fund (CH) - Pension Invest Balanced,CH0281018538_393,549300XWZ4RD8ILEWJ49,Energy efficiency,0.29
28101853,Vontobel Fund (CH) - Pension Invest Balanced,CH0281018538_393,549300XWZ4RD8ILEWJ49,Environmental,0.76
28101853,Vontobel Fund (CH) - Pension Invest Balanced,CH0281018538_393,549300XWZ4RD8ILEWJ49,Social,0.39
29481313,Vontobel Fund (CH) - Pension Invest Yield,CH0294813131_393,5493005ZZWAG5GH0G736,Main criterias used for a first screening of ESG related products,2.67
29481313,Vontobel Fund (CH) - Pension Invest Yield,CH0294813131_393,5493005ZZWAG5GH0G736,Greenhouse gas emissions,48.73
29481313,Vontobel Fund (CH) - Pension Invest Yield,CH0294813131_393,5493005ZZWAG5GH0G736,Biodiversity,0.41
29481313,Vontobel Fund (CH) - Pension Invest Yield,CH0294813131_393,5493005ZZWAG5GH0G736,Water,0.24
29481313,Vontobel Fund (CH) - Pension Invest Yield,CH0294813131_393,5493005ZZWAG5GH0G736,Waste,0.33
29481313,Vontobel Fund (CH) - Pension Invest Yield,CH0294813131_393,5493005ZZWAG5GH0G736,Social and employee matters,2.01
29481313,Vontobel Fund (CH) - Pension Invest Yield,CH0294813131_393,5493005ZZWAG5GH0G736,Energy efficiency,0.32
29481313,Vontobel Fund (CH) - Pension Invest Yield,CH0294813131_393,5493005ZZWAG5GH0G736,Environmental,0.99
29481313,Vontobel Fund (CH) - Pension Invest Yield,CH0294813131_393,5493005ZZWAG5GH0G736,Social,0.26
29481314,Vontobel Fund (CH) - Pension Invest Balanced,CH0294813149_393,549300XWZ4RD8ILEWJ49,Main criterias used for a first screening of ESG related products,2.67
29481314,Vontobel Fund (CH) - Pension Invest Balanced,CH0294813149_393,549300XWZ4RD8ILEWJ49,Greenhouse gas emissions,105.48
29481314,Vontobel Fund (CH) - Pension Invest Balanced,CH0294813149_393,549300XWZ4RD8ILEWJ49,Biodiversity,0.39
29481314,Vontobel Fund (CH) - Pension Invest Balanced,CH0294813149_393,549300XWZ4RD8ILEWJ49,Water,0.23
29481314,Vontobel Fund (CH) - Pension Invest Balanced,CH0294813149_393,549300XWZ4RD8ILEWJ49,Waste,0.32
29481314,Vontobel Fund (CH) - Pension Invest Balanced,CH0294813149_393,549300XWZ4RD8ILEWJ49,Social and employee matters,1.74
29481314,Vontobel Fund (CH) - Pension Invest Balanced,CH0294813149_393,549300XWZ4RD8ILEWJ49,Energy efficiency,0.29
29481314,Vontobel Fund (CH) - Pension Invest Balanced,CH0294813149_393,549300XWZ4RD8ILEWJ49,Environmental,0.76
29481314,Vontobel Fund (CH) - Pension Invest Balanced,CH0294813149_393,549300XWZ4RD8ILEWJ49,Social,0.39
29717871,Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,549300KOXOTGUZPWBD38,Main criterias used for a first screening of ESG related products,2.67
29717875,Julius Baer Edelweiss Fund Equity (CHF),CH0297178755_205,549300KOXOTGUZPWBD38,Main criterias used for a first screening of ESG related products,2.67
29717877,Julius Baer Edelweiss Fund Equity (CHF),CH0297178771_205,549300KOXOTGUZPWBD38,Main criterias used for a first screening of ESG related products,2.67
31118886,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311188863_393,549300DLUQ81764UOX58,Main criterias used for a first screening of ESG related products,1.5
31118886,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311188863_393,549300DLUQ81764UOX58,Greenhouse gas emissions,2272.38
31118886,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311188863_393,549300DLUQ81764UOX58,Biodiversity,0.6
31118886,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311188863_393,549300DLUQ81764UOX58,Water,0.34
31118886,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311188863_393,549300DLUQ81764UOX58,Waste,0.59
31118886,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311188863_393,549300DLUQ81764UOX58,Social and employee matters,1.94
31118886,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311188863_393,549300DLUQ81764UOX58,Energy efficiency,0.48
31118955,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189556_393,549300DLUQ81764UOX58,Main criterias used for a first screening of ESG related products,1.5
31118955,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189556_393,549300DLUQ81764UOX58,Greenhouse gas emissions,2272.38
31118955,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189556_393,549300DLUQ81764UOX58,Biodiversity,0.6
31118955,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189556_393,549300DLUQ81764UOX58,Water,0.34
31118955,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189556_393,549300DLUQ81764UOX58,Waste,0.59
31118955,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189556_393,549300DLUQ81764UOX58,Social and employee matters,1.94
31118955,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189556_393,549300DLUQ81764UOX58,Energy efficiency,0.48
31118958,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189580_393,549300DLUQ81764UOX58,Main criterias used for a first screening of ESG related products,1.5
31118958,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189580_393,549300DLUQ81764UOX58,Greenhouse gas emissions,2272.38
31118958,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189580_393,549300DLUQ81764UOX58,Biodiversity,0.6
31118958,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189580_393,549300DLUQ81764UOX58,Water,0.34
31118958,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189580_393,549300DLUQ81764UOX58,Waste,0.59
31118958,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189580_393,549300DLUQ81764UOX58,Social and employee matters,1.94
31118958,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311189580_393,549300DLUQ81764UOX58,Energy efficiency,0.48
38168262,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0381682621_393,549300DLUQ81764UOX58,Main criterias used for a first screening of ESG related products,1.5
38168262,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0381682621_393,549300DLUQ81764UOX58,Greenhouse gas emissions,2272.38
38168262,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0381682621_393,549300DLUQ81764UOX58,Biodiversity,0.6
38168262,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0381682621_393,549300DLUQ81764UOX58,Water,0.34
38168262,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0381682621_393,549300DLUQ81764UOX58,Waste,0.59
38168262,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0381682621_393,549300DLUQ81764UOX58,Social and employee matters,1.94
38168262,Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0381682621_393,549300DLUQ81764UOX58,Energy efficiency,0.48
48137329,Julius Baer Edelweiss Fund Equity (CHF),CH0481373295_3233,549300KOXOTGUZPWBD38,Main criterias used for a first screening of ESG related products,2.67
48137331,Julius Baer Edelweiss Fund Equity (CHF),CH0481373311_3313,549300KOXOTGUZPWBD38,Main criterias used for a first screening of ESG related products,2.67
