companyLongName,ISIN_BC,LEI,lookupStatus
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,549300KOXOTGUZPWBD38,FOUND
Belfius Equities SICAV - Leading Brands,BE0170210729_2732,5493008S0YQRBBNEQK24,FOUND
Belfius Select Portfolio SICAV - World Bonds,BE0174873795_487,5493003XNMXHHT712V57,FOUND
Belfius Equities SICAV - Immo,BE0940607956_487,54930085WQ8X8JREEL94,FOUND
Belfius Equities SICAV - China,BE0945530716_2732,549300BXJPHK5TUR0I29,FOUND
TreeTop SICAV - TreeTop World ESG Leaders Equity Index,BE6275981817_9760,549300HVR72G7G7MFP64,FOUND
Great Dane - Globale Aktier,DK0060579423_12,549300W7O3XKK2SQ0O26,FOUND
Great Dane - Afdeling Europa Value,DK0061671799_12,5493005HV0HVQDF1RO95,FOUND
SG Actions US Techno FCP,FR0000431538_245,969500UNFWH8HVZ60A29,FOUND
Axa Investment Managers Paris Compt-ConvertiblesFCP,FR0007492665_9760,969500VSKM4FU0KUJK95,FOUND
Diversis FCP,FR0007493051_9760,969500KAH929APB4CS13,FOUND
Lazard Convertible Global Sicav,FR0000098683_245,969500U6SRN5JZ7VZ943,FOUND
Barings European Growth Trust,GB0000804335_2605,213800BVV5X98HOKST28,FOUND
Barings Eastern Trust,GB0000799923_2605,213800R41LTXJ2K85J59,FOUND
M&G Global Macro Bond Fund,GB0031616815_2914,549300R8FGIWC884LP39,FOUND
M&G Investment Funds (1) - M&G North American Dividend Fund,GB0030926736_9760,549300ZP41C94GUZ8Z71,FOUND
M&G Investment Funds (1) - M&G European Sustain Paris Aligned Fund,GB0030927700_9760,549300NV1RRMFMIJYU42,FOUND
M&G Investment Funds (1) - M&G Global Themes Fund,GB0030932676_205,549300QGXO8PF8ZA4Y06,FOUND
M&G Investment Funds (3) - M&G Corporate Bond Fund,GB0031285678_697,549300TF2NQX3VRVQR58,FOUND
M & G Investment Funds (2) - Gilt & Fixed Interest Income Fund,GB0031107807_697,549300JXS02SDDJZHX04,FOUND
M & G Investment Funds (3) - Recovery Fund,GB0031289217_9760,549300EKY48W0RZPVL59,FOUND
M & G Investment Funds (3) - M&G Global Government Bond Fund,GB0031288912_9760,549300H8HS6PCJCHKM40,FOUND
M&G Investment Funds (1) - M&G Global Sustain Paris Aligned Fund,GB0030937840_697,5493001KTZOMLRZ8AJ37,FOUND
M&G Investment Funds (2) - M&G UK Income Distribution Fund,GB0031107021_697,5493000LMZ4UIW2DHJ88,FOUND
M&G Investment Funds (2) - M&G Short Dated Corporate Bond Fund,GB0031110397_697,549300GKNZE6NIFPB625,FOUND
M&G Investment Funds (2) - M&G Index-Linked Bond Fund,GB0031111361_697,549300BILS0O30N4SB49,FOUND
M&G Investment Funds (4) - Managed Growth Fund,GB0031960700_697,EUD52IXSE428CCGU5C28,FOUND
M&G Investment Funds (3) - M&G Emerging Markets Bond Fund,GB0031958738_697,549300ETSXNT8EC3RD31,FOUND
M&G Investment Funds (4) - M&G Episode Growth Fund,GB0031960585_697,549300PXC3I0C5SV1O54,FOUND
The Partners Fund,GG00B5SNRY87_246,549300Q1KAYJZYQGQ793,FOUND
Basis-Fonds Nachhaltig,DE0008478090_475,529900N0QUASPR63HO30,FOUND
Selection Rendite Plus,DE0002605037_475,549300XLQAPZ62JUHZ06,FOUND
Invesco Liquidity Funds PLC - Invesco US Dollar Liquidity Portfolio,IE0008042461_3059,54930019DCE0F2PV4F17,FOUND
Invesco Liquidity Funds PLC - Invesco Euro Liquidity Portfolio,IE0004904748_3059,549300SX8M1X5KGDQ843,FOUND
