companyLongName,ISIN_BC,governanceFactorAverage
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,0.6
Belfius Equities SICAV - Leading Brands,BE0170210729_2732,1.2
Belfius Select Portfolio SICAV - World Bonds,BE0174873795_487,1.2
Belfius Equities SICAV - Immo,BE0940607956_487,0.92
Belfius Equities SICAV - China,BE0945530716_2732,1.19
TreeTop SICAV - TreeTop World ESG Leaders Equity Index,BE6275981817_9760,0.85
SG Actions US Techno FCP,FR0000431538_245,0.89
Axa Investment Managers Paris Compt-ConvertiblesFCP,FR0007492665_9760,0.95
Diversis FCP,FR0007493051_9760,0.71
Lazard Convertible Global Sicav,FR0000098683_245,0.88
Barings European Growth Trust,GB0000804335_2605,0.79
Barings Eastern Trust,GB0000799923_2605,0.79
M&G Global Macro Bond Fund,GB0031616815_2914,0.0
M&G Investment Funds (1) - M&G North American Dividend Fund,GB0030926736_9760,0.0
M&G Investment Funds (1) - M&G European Sustain Paris Aligned Fund,GB0030927700_9760,0.0
M&G Investment Funds (1) - M&G Global Themes Fund,GB0030932676_205,1.0
M&G Investment Funds (3) - M&G Corporate Bond Fund,GB0031285678_697,0.0
M & G Investment Funds (2) - Gilt & Fixed Interest Income Fund,GB0031107807_697,0.0
M & G Investment Funds (3) - Recovery Fund,GB0031289217_9760,0.0
M & G Investment Funds (3) - M&G Global Government Bond Fund,GB0031288912_9760,0.0
M&G Investment Funds (1) - M&G Global Sustain Paris Aligned Fund,GB0030937840_697,0.0
M&G Investment Funds (2) - M&G UK Income Distribution Fund,GB0031107021_697,0.0
M&G Investment Funds (2) - M&G Short Dated Corporate Bond Fund,GB0031110397_697,0.0
M&G Investment Funds (2) - M&G Index-Linked Bond Fund,GB0031111361_697,0.0
M&G Investment Funds (4) - Managed Growth Fund,GB0031960700_697,0.0
M&G Investment Funds (3) - M&G Emerging Markets Bond Fund,GB0031958738_697,0.0
M&G Investment Funds (4) - M&G Episode Growth Fund,GB0031960585_697,0.0
The Partners Fund,GG00B5SNRY87_246,1.09
Basis-Fonds Nachhaltig,DE0008478090_475,1.13
Selection Rendite Plus,DE0002605037_475,1.0
Invesco Liquidity Funds PLC - Invesco US Dollar Liquidity Portfolio,IE0008042461_3059,1.0
Invesco Liquidity Funds PLC - Invesco Euro Liquidity Portfolio,IE0004904748_3059,1.0
Goldman Sachs Funds PLC - Goldman Sachs US Dollar Liquid Reserves Fund,IE0001534761_2785,0.88
Findlay Park Funds ICAV - Findlay Park American Fund,IE0002458671_2605,1.17
AXA IM Equity Trust - AXA IM Japan Equity,IE0008366589_2720,0.89
AXA IM Equity Trust - AXA IM Pacific Ex-Japan Equity QI,IE0008366704_2608,1.01
AXA IM Equity Trust - AXA IM Global Small Cap Equity QI,IE0008366928_2608,1.01
AXA IM Equity Trust - AXA IM All Country Asia Pacific Ex-Japan Small Cap Equity QI,IE0008367009_9760,0.95
DWS Deutsche Global Liquidity Series PLC - Deutsche Managed Sterling Fund,IE0008707428_2720,1.0
Amundi Obbligazionario Italia Breve Termine,IT0000388204_282,0.86
BNL Obbligazioni Emergenti,IT0000388840_282,0.77
Amundi Obbligazionario Breve Termine,IT0001250205_282,0.82
Eurizon Soluzione ESG 10,IT0001080404_282,0.91
Amundi Obbligazionario Paesi Emergenti a distribuzione,IT0001318739_282,0.86
BNL Azioni Europa Dividendo,IT0001468047_282,0.86
BNL Flessibile Globale,IT0004240542_282,0.84
Amundi Impegno Italia,IT0004253800_282,0.82
Amundi Obbligazionario Sistema Italia a distribuzione,IT0004791759_282,0.88
Amundi Obbligazionario Globale High Yield a distribuzione,IT0004812449_282,0.82
Amundi Obbligazionario Corporate America a distribuzione,IT0004812514_282,0.82
Amundi Target Controllo,IT0004814643_282,0.89
Amundi ESG Selection Bilanciato,IT0005125049_282,0.77
Amundi ESG Selection Conservativo,IT0005125064_282,0.77
Amundi ESG Selection Dinamico,IT0005125080_282,0.77
Amundi Valore Italia PIR,IT0005241440_282,0.82
Amundi Primo Investimento,IT0005250243_282,0.84
Fondi Amundi Accumulazione - Amundi Accumulazione Disruption 2024,IT0005351371_282,0.96
Fondi Amundi Selezione - Amundi Selezione Benessere 2024,IT0005351322_282,0.95
Fondi Amundi Accumulazione - Amundi Accumulazione Megatrend 2024,IT0005358046_282,0.96
Fondi Amundi Selezione - Amundi Selezione Benessere 05/2024,IT0005358061_282,0.95
Fondi Amundi Accumulazione - Amundi Accumulazione Megatrend 2024 DUE,IT0005371106_282,0.96
Fondi Amundi Accumulazione - Amundi Accumulazione Mercati Emergenti 2024,IT0005381923_282,0.95
Fondi Amundi Selezione - Amundi Selezione Benessere 09/2024,IT0005371080_282,0.95
Fondi Amundi Selezione - Amundi Selezione Millennials 2024,IT0005381865_282,0.95
Fondi Amundi Accumulazione - Amundi Accumulazione Mercati Emergenti 2025,IT0005389793_282,0.96
ACATIS Fair Value Aktien Global,LI0017502381_2810,1.0
TL Nachhaltigkeitsfonds,LI0042307384_2810,0.56
AQUIS UCITS - Lumen Vietnam Fund,LI0148578169_205,0.56
Swiss Life GSF - iConstant Orbit,LI0394750827_2810,0.56
Bonafide Investment Fund - Best Catches I,LI0459812520_2810,0.53
NEMO Fund,LI0466183220_2810,0.56
Lemanik SICAV - Asian Opportunity,LU0054300461_246,0.71
DNB Gront Skifte Norden,NO0010102866_337,1.01
DNB Low Carbon Credit,NO0010848997_337,1.3
DNB Teknologi,NO0010827819_664,1.3
DNB Kredittobligasjon,NO0012778523_337,1.3
DNB Obligasjon,NO0012778531_337,1.3
DNB Obligasjon Norden,NO0012771163_337,1.3
DNB Global Emerging Markets,NO0012766213_337,1.3
DNB Global Lavkarbon,NO0012766338_337,1.3
DNB Global,NO0012765991_2021,1.3
