companyLongName,ISIN_BC,ESGClassification,ESG
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,EET Data Set Information,1.11
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,EET Data Set Information,0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,EET Data Set Information,0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,EET Data Set Information,0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,EET Data Set Information,1.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,EET Data Set Information,1.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,Main criterias used for a first screening of ESG related products,8.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,Main criterias used for a first screening of ESG related products,0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,Main criterias used for a first screening of ESG related products,0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,Main criterias used for a first screening of ESG related products,0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,Financial_Instrument ESG Benchmark,0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,MiFID/IDD Target Market - Manufacturer angle (from a client perspective),0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,Minimum (or planned) Sustainable investment and taxonomy assets allocation breakdown,0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,Minimum (or planned) Sustainable investment and taxonomy assets allocation breakdown,0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,Minimum (or planned) Sustainable investment and taxonomy assets allocation breakdown,0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,Minimum (or planned) Sustainable investment and taxonomy assets allocation breakdown,0.0
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,Minimum (or planned) Sustainable investment and taxonomy assets allocation breakdown,0.0
