companyLongName,ISIN_BC,LEI,lookupStatus
Vontobel Fund (CH) - Pension Invest Yield,CH0281016474_393,5493005ZZWAG5GH0G736,ERROR
Vontobel Fund (CH) - Pension Invest Balanced,CH0281017506_393,549300XWZ4RD8ILEWJ49,ERROR
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,549300KOXOTGUZPWBD38,ERROR
Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311188863_393,549300DLUQ81764UOX58,ERROR
Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357052_512,549300ZX814NAJ7F5N60,ERROR
Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0487357144_393,549300560H4Y12ZD4R43,ERROR
Belfius Equities SICAV - Leading Brands,BE0170210729_2732,5493008S0YQRBBNEQK24,ERROR
MercLan SICAV - Euro obligatiefonds,BE0142525329_3230,549300BMG7SZN9H44W38,ERROR
Belfius Equities SICAV - Global Health Care,BE0163901680_3231,549300RHUJF19VIN8D84,ERROR
Belfius Select Portfolio SICAV - World Bonds,BE0174873795_487,5493003XNMXHHT712V57,ERROR
Belfius Equities SICAV - Robotics & Innovative  Technology,BE0176734979_3231,549300LZSZDEGNVZ5B26,ERROR
Belfius Portfolio FCP - Euro Short Term,BE0057843311_3313,549300TKJMXHWMJ6BN26,ERROR
Belfius Equities SICAV - Immo,BE0940607956_487,54930085WQ8X8JREEL94,ERROR
Belfius Equities SICAV - China,BE0945530716_2732,549300BXJPHK5TUR0I29,ERROR
Belfius Equities SICAV - Europe Small & Mid Caps,BE0948878245_3313,549300W0D2C15YV4VL46,ERROR
TreeTop SICAV - TreeTop World ESG Leaders Equity Index,BE6275981817_9760,549300HVR72G7G7MFP64,ERROR
Belfius Portfolio FCP - Global Allocation Bonds,BE6286681141_3313,549300MCK5SL4DE3V157,ERROR
Great Dane - Globale Aktier,DK0060579423_12,549300W7O3XKK2SQ0O26,ERROR
Great Dane - Afdeling Europa Value,DK0061671799_12,5493005HV0HVQDF1RO95,ERROR
CBNK Mixto 25 FI,ES0173856032_3230,95980020140005195109,ERROR
Gestifonsa Mixto 10 FI,ES0126536038_3230,95980020140005195303,ERROR
CBNK Renta Fija Corto Plazo FI,ES0126551037_3230,95980020140005195206,ERROR
CBNK Renta Variable Espana FI,ES0138253036_3230,95980020140005194624,ERROR
CBNK Renta Fija Euro FI,ES0138712031_3230,95980020140005195012,ERROR
CBNK Renta Fija Flexible FI,ES0126553033_3230,95980020140005194915,ERROR
Sabadell Interes Euro FI,ES0174403032_3230,95980020140005413941,ERROR
Sabadell Rendimiento FI,ES0173829039_3230,95980020140005407054,ERROR
Gestifonsa Renta Variable Euro FI,ES0138168036_3230,95980020140005194527,ERROR
Inversabadell 70 FI,ES0174434037_3230,95980020140005407830,ERROR
Sabadell Espana Bolsa Futuro FI,ES0111092039_1058,95980020140005413165,ERROR
Sabadell Inversion Etica y Solidaria FI,ES0182543035_3230,95980020140005408121,ERROR
Sabadell Prudente FI,ES0111187003_3230,95980020140005405987,ERROR
CBNK Objetivo 2024 FI,ES0116371008_3230,95980020140005193557,ERROR
Magallanes European Equity FI,ES0159259003_3230,959800B7PZ285YKVNF32,ERROR
Magallanes Iberian Equity FI,ES0159201005_3230,959800LRKP2Y2ZG69U75,ERROR
Sabadell Equilibrado FI,ES0174436008_3230,959800AR77XY8AKWRZ56,ERROR
Sabadell Dinamico FI,ES0107489009_3230,9598009T48MGAW1MJJ52,ERROR
Vanguard Primecap Fund,US9219361006_1630,SHYKZ9CKK7NENE4ODA76,ERROR
R-co OPAL Modere FCP,FR0007028907_3313,969500WP7GJ3KDR1HX34,ERROR
Ofi Invest Performance FCP,FR0007488689_3313,969500C2JU1H81FLTD43,ERROR
Ofi Invest Interoblig FCP,FR0007488671_3313,969500VDFCSE4G4LI779,ERROR
Ofi Invest Actions France FCP,FR0007485263_3313,969500YRACYNYTB0ME36,ERROR
Ofi Invest ISR Actions Europe FCP,FR0007473798_3313,969500T0PCKSGY0IUT98,ERROR
Europe Income Family FCP,FR0007485230_3313,969500T1QWWDEJGEMX36,ERROR
Ofi Invest ISR Credit Bonds Euro 1-3 FCP,FR0007390075_3313,9695003K9MKDD46UI077,ERROR
Ofi Invest France Opportunites FCP,FR0007385000_3230,969500BUXCF6B3LXMC88,ERROR
AXA Matignon Actions Monde FCP,FR0007474648_3230,969500Z9I4RGURIUC752,ERROR
ODDO BHF China Domestic Leaders FCP,FR0007475843_354,969500YATZ5STI5LYC33,ERROR
SG Actions US Techno FCP,FR0000431538_245,969500UNFWH8HVZ60A29,ERROR
Federation Ep FCP,FR0007477047_3230,969500AVVPAK3PPEH558,ERROR
Trusteam Obligations Court Terme FCP,FR0007476734_3313,9695002P1OGGJZIBX689,ERROR
Ofi Invest Japon FCP,FR0007478060_3313,969500YUF5K9ID0IA425,ERROR
Vega France Convictions FCP,FR0007479365_3313,969500Q3V7ZKR93USQ66,ERROR
Ofi Invest Asie FCP,FR0007478052_3313,969500QA27CDEOBOWO89,ERROR
LCL Investissement Dynamique ISR FCP,FR0007481817_3230,9695005W2PGCJTYGQ602,ERROR
Agipi Ambition Sicav,FR0000299240_3230,969500FWKRGQYYBRZK42,ERROR
LCL Actions Or Monde FCP,FR0007374145_3230,969500P1LSL2K1VUBZ92,ERROR
Gutenberg Finance Gutenberg Obligations FCP,FR0007368865_3313,96950032XDW5ORQJE865,ERROR
Ecofi Credit Short Duration FCP,FR0007462833_3313,969500CJKKT8BYROQ102,ERROR
Ecofi Quant Obligations FCP,FR0007465075_3230,9695002GIXQ1G5AY4171,ERROR
Afer-Sfer Sicav,FR0000299364_643,969500G2UDV3F856RJ22,ERROR
BNP Paribas Mone Etat Sicav,FR0000299620_3313,969500UEZVKK0HWCCT97,ERROR
Vega Obligations Euro ISR FCP,FR0007465083_3230,9695001GMM6TZ54V5565,ERROR
Amundi Small Cap Euro SICAV,FR0000288185_3230,969500O38Z8ISD01OG89,ERROR
Axa Investment Managers Paris Compt-ConvertiblesFCP,FR0007492665_9760,969500VSKM4FU0KUJK95,ERROR
Axa Gestion FCP Compt-Pacifique FCP,FR0007492681_3230,969500CPA5IV6GRGRT82,ERROR
Diversis FCP,FR0007493051_9760,969500KAH929APB4CS13,ERROR
Ostrum SRI Cash Plus SICAV,FR0000293714_3230,969500PKFU9JCKUX4592,ERROR
Ecofi Obligations Internationales FCP,FR0007381983_3230,969500OI51489VBGYN73,ERROR
Ofi Invest ESG Credit Europe FCP,FR0007030663_643,969500WWXLF3CN0I9C51,ERROR
Vega Patrimoine ISR FCP,FR0007371810_3230,969500K49HDVK3FF5G13,ERROR
Vega Euro Spread FCP,FR0007371877_3230,969500GKSJ6TXM9R6K41,ERROR
Rentabilite Mobiliere FCP,FR0007453477_354,96950062ZYCN400R9X34,ERROR
Ameri-Gan Sicav,FR0000099939_3230,969500ZDWFF9CV3J2W42,ERROR
Ecofi Tresorerie SICAV,FR0000293698_3230,969500J2GQIHUBSGR209,ERROR
Ofi Invest Actions Britannia Sicav,FR0000291528_3313,96950070I5KU5Y5NNG59,ERROR
Ofi Invest Actions Immo Euro SICAV,FR0000095465_3313,969500P99AHUZYJCGV35,ERROR
Ofi Invest Developpement SICAV,FR0000290926_3313,9695004XWE0B281KQB94,ERROR
Lazard Convertible Global Sicav,FR0000098683_245,969500U6SRN5JZ7VZ943,ERROR
France-Gan Sicav,FR0000290124_3313,969500B1IE2344RRED05,ERROR
Le Livret Portefeuille Sicav,FR0000096695_3313,969500XWR5HX7PR7CV33,ERROR
Epargne Ethique Flexible Sicav,FR0000097560_3313,969500IS461XV7XJRX16,ERROR
CPR Stratedis Sicav,FR0000296436_3230,9695001MO3COA5MAWN49,ERROR
Gutenberg Actions FCP,FR0007485719_3313,9695001LG2VMPZNEUA73,ERROR
G Fund - World Vision R SICAV,FR0000097156_3313,9695005XO2NL98AF2N92,ERROR
Barings European Growth Trust,GB0000804335_2605,213800BVV5X98HOKST28,ERROR
Barings Eastern Trust,GB0000799923_2605,213800R41LTXJ2K85J59,ERROR
M&G Equities Investment Fund for Charities (Charifund),GB0005494629_3313,549300W1IR30JZE3IM94,ERROR
M&G Global Macro Bond Fund,GB0031616815_2914,549300R8FGIWC884LP39,ERROR
M&G Investment Funds (1) - M&G North American Dividend Fund,GB0030926736_9760,549300ZP41C94GUZ8Z71,ERROR
M&G Investment Funds (1) - M&G European Sustain Paris Aligned Fund,GB0030927700_9760,549300NV1RRMFMIJYU42,ERROR
M&G Investment Funds (1) - M&G Global Themes Fund,GB0030932676_205,549300QGXO8PF8ZA4Y06,ERROR
M & G Investment Funds (2) Ltd - Index Tracker Fund,GB0031110843_3313,5493000Q2P207NIFD717,ERROR
M&G Investment Funds (2) - M&G UK Sustain Paris Aligned Fund,GB0031111700_3232,549300TIKNBOG9RV6X32,ERROR
M&G Investment Funds (3) - M&G Corporate Bond Fund,GB0031285678_697,549300TF2NQX3VRVQR58,ERROR
M&G Investment Funds (1) - M&G Asian Fund,GB0030939556_3313,5493003FYMR8F64O2S94,ERROR
M & G Investment Funds (3) - Dividend Fund,GB0031286080_3313,549300KBTRWWDKVVOJ54,ERROR
M & G Investment Funds (2) - Gilt & Fixed Interest Income Fund,GB0031107807_697,549300JXS02SDDJZHX04,ERROR
M & G Investment Funds (3) - Recovery Fund,GB0031289217_9760,549300EKY48W0RZPVL59,ERROR
M & G Investment Funds (3) - Smaller Companies Fund,GB0031289324_3313,549300FZHTWLMXZSKV71,ERROR
M & G Investment Funds (3) - M&G Global Government Bond Fund,GB0031288912_9760,549300H8HS6PCJCHKM40,ERROR
M&G Investment Funds (1) - M&G Global Sustain Paris Aligned Fund,GB0030937840_697,5493001KTZOMLRZ8AJ37,ERROR
M&G Investment Funds (2) - M&G UK Income Distribution Fund,GB0031107021_697,5493000LMZ4UIW2DHJ88,ERROR
M&G Investment Funds (1) - M&G Japan Fund,GB0030938368_3232,549300GXXHGR1D04T489,ERROR
M&G Investment Funds (2) - M&G Short Dated Corporate Bond Fund,GB0031110397_697,549300GKNZE6NIFPB625,ERROR
M&G Investment Funds (2) - M&G Index-Linked Bond Fund,GB0031111361_697,549300BILS0O30N4SB49,ERROR
M&G Investment Funds (4) - Managed Growth Fund,GB0031960700_697,EUD52IXSE428CCGU5C28,ERROR
M&G Investment Funds (2) - M&G Global High Yield Bond Fund,GB0031957219_3232,549300QWW7Y8O6HSZO98,ERROR
M&G Investment Funds (3) - M&G Emerging Markets Bond Fund,GB0031958738_697,549300ETSXNT8EC3RD31,ERROR
M&G Investment Funds (4) - M&G Episode Growth Fund,GB0031960585_697,549300PXC3I0C5SV1O54,ERROR
The Partners Fund,GG00B5SNRY87_246,549300Q1KAYJZYQGQ793,ERROR
DWS Top Europe,DE0009769729_13,549300LY91OQ4VQD8P14,ERROR
DWS Global Hybrid Bond Fund,DE0008490988_2913,54930010GYG2HRZB1707,ERROR
DWS ESG Balance,DE0008474198_354,549300SFXTCGFN5RVK78,ERROR
DWS Deutschland,DE0008490962_2913,549300D7LVT8E5OULG98,ERROR
DWS US Growth,DE0008490897_13,549300K76FUJB78JZ729,ERROR
DWS GLOBAL COMMUNICATIONS,DE0008474214_18,549300VR52DMCBI7GZ42,ERROR
DWS Euro Flexizins,DE0008474230_354,549300JDE9LG0BRWLJ68,ERROR
Standard-VNAV-Geldmarktfonds,DE0009766832_14,529900ZW1ATTQKW48E60,ERROR
ODDO BHF Money Market,DE0009770206_13,529900TTV3XS9FEXY745,ERROR
DWS Balance Portfolio E,DE0008471301_2913,549300PRL8EEZKSIK781,ERROR
Basis-Fonds Nachhaltig,DE0008478090_475,529900N0QUASPR63HO30,ERROR
Barmenia Renditefonds DWS,DE0008474248_13,549300O0P8V33VP75Q04,ERROR
BW-RENTA-INTERNATIONAL-FONDS,DE0008483678_2779,549300TTRRRKS20YMF30,ERROR
DWS ESG Akkumula,DE0008474024_2913,5493001ZU3IMV87UO985,ERROR
DWS Eurozone Bonds Flexible,DE0008474032_2779,549300SYIZKPS4WDTH96,ERROR
DWS ESG Investa,DE0008474008_2913,549300RNBAUSN0FUAI72,ERROR
Baloise-Aktienfonds DWS,DE0008474057_2913,549300534J67A5W3CU92,ERROR
DWS Artificial Intelligence,DE0008474149_2913,54930020MLH84GBH1X83,ERROR
Grundbesitz Europa,DE0009807008_2913,529900562V23GRX8DY54,ERROR
DWS Internationale Renten Typ O,DE0009769703_2779,549300HZIPVDT7PWUL25,ERROR
DWS ESG QI LOWVOL EUROPE,DE0008490822_2913,5493007PX7NGIYJME010,ERROR
DWS German Equities Typ O,DE0008474289_2913,549300G8ORW8KDXMJA54,ERROR
DWS Future Trends,DE0008476508_13,549300XDHDPCVOZXIO46,ERROR
DWS Vermoegensbildungsfonds I,DE0008476524_2913,549300KVPYI4GM7GGD18,ERROR
DWS Euro Bond Fund,DE0008476516_2913,549300AZMWSFQ2PUT553,ERROR
DWS Covered Bond Fund,DE0008476532_18,5493000ILE628494V624,ERROR
DWS Eurovesta,DE0008490848_2779,549300TEFCLCGP4RYO67,ERROR
ODDO BHF Green Bond,DE0008478082_18,529900W4IPS4XZPNQZ56,ERROR
DWS ESG Convertibles,DE0008474263_2913,5493004U37NZ5AULWW41,ERROR
FMM-Fonds,DE0008478116_2913,529900MBNBJGI9W4M363,ERROR
ODDO BHF Sustainable German Equities,DE0008478058_2913,529900ZQYZQ8H2PF7W26,ERROR
Amundi German Equity,DE0009752303_13,213800TFKOKKTMXYQJ02,ERROR
LBBW Renten Short Term Nachhaltigkeit R,DE0008480682_2779,5299000QAHCT8SCO9326,ERROR
DWS Concept GS&P Food,DE0008486655_2913,549300LMT1PANOBZC873,ERROR
Amundi Wandelanleihen,DE0008484957_2779,213800JNGKH1FDLNHI70,ERROR
DWS European Opportunities,DE0008474156_2913,54930073ISJQ5LO85C66,ERROR
Baloise-Rentenfonds DWS,DE0008474065_2779,549300ZWS0YUJYBX1768,ERROR
Baloise-International DWS,DE0008474297_2779,5493005RKCKHY1S9OV86,ERROR
DWS Concept DJE Globale Aktien,DE0009777003_2913,549300S0NHKVFXPB3X10,ERROR
LBBW Multi Global,DE0009766881_2779,529900YL3FBFH1182K74,ERROR
DWS ESG Top Asien,DE0009769760_2913,549300W9BI5I0YT74137,ERROR
AXA Welt,DE0008471376_15,213800URU9D12IGDB706,ERROR
Selection Rendite Plus,DE0002605037_475,549300XLQAPZ62JUHZ06,ERROR
DWS ESG Top World,DE0009769794_2779,549300S8FY9ICNT7DD20,ERROR
LBBW Renten Euro Flex Nachhaltigkeit,DE0009766964_19,529900RIUDCTIKDEPI95,ERROR
LBBW Schwellenlaender Profiteure Nachhaltigkeit,DE0009771964_2779,5299009GMQTXNSAAYA39,ERROR
LBBW Aktien Europa,DE0009780221_2913,529900UD4DVXGO4PTQ67,ERROR
DWS Global Emerging Markets Equities,DE0009773010_2913,549300GU0DFD43JNWO76,ERROR
Metzler Global Growth Sustainability,DE0009752253_2913,5299007ECT4X609JYY78,ERROR
W&W Internationaler Rentenfonds,DE0008484502_18,5299000DNYSNV07UFK70,ERROR
Invesco Liquidity Funds PLC - Invesco US Dollar Liquidity Portfolio,IE0008042461_3059,54930019DCE0F2PV4F17,ERROR
Barings Global Umbrella Fund - Barings Global Resources Fund,IE0000931182_2779,213800XGHV4NO32IAJ46,ERROR
