companyLongName,ISIN_BC,LEI,lookupStatus
Lemanik SICAV - Asian Opportunity,LU0054300461_246,549300J1DBMI3W7LR707,FOUND
DNB Gront Skifte Norden,NO0010102866_337,549300UVTY5VA8JQC265,FOUND
DNB Low Carbon Credit,NO0010848997_337,5493006JTZCCOTOWDV22,FOUND
DNB Teknologi,NO0010827819_664,549300YXXWTT2YR31565,FOUND
DNB Kredittobligasjon,NO0012778523_337,5493005A2X8OX40J0T27,FOUND
DNB Obligasjon,NO0012778531_337,549300S4EDNXFPUN7853,FOUND
DNB Obligasjon Norden,NO0012771163_337,549300MF1GUNPGYKMZ24,FOUND
DNB Global Emerging Markets,NO0012766213_337,549300XUO2F8EKP97W05,FOUND
DNB Global Lavkarbon,NO0012766338_337,549300PZ2TWIBDHDTF60,FOUND
DNB Global,NO0012765991_2021,549300L276CWW3GPAR15,FOUND
DNB Bioteknologi,NO0012766254_2020,5493004ZTW1XNPXJM594,FOUND
DNB Finans,NO0012778655_2020,549300ZBI4IU3VD26U35,FOUND
DNB Health Care,NO0012778648_2021,549300Q01EV6OTLQV386,FOUND
Kempen European High Dividend Fund N.V.,NL0000293348_2732,724500L1YIPUZPJKM737,FOUND
Kempen Profielfondsen N.V. - Kempen Profielfonds 0,NL0010610309_487,5493008T914U4QGTBN14,FOUND
Brummer Multi-Strategy,SE0000912057_648,213800NYRGU38SZCPY15,FOUND
Brummer Multi-Strategy Utdelande,SE0005099983_648,213800NSPJG7PB4UW457,FOUND
Placerum Dynamisk,SE0013749405_664,254900VINM3EI2KIPE70,FOUND
